object_id,seq,lib,desc,x,y,designator,comment,manufacturer,mpn,pin_count
2489,2490,CMP-001-0001-4,0.6mm round,280,40,TP?,TPAD6R,,,1
3766,3767,S1751-46R,Test Point,80,50,TP?,S1751-46R,Harwin,S1751-46R,1
2470,2471,CMP-001-0001-4,0.6mm round,280,70,TP?,TPAD6R,,,1
4441,4442,1029c3af85768c4190bb7ad29bc67b5,1MO ±5% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant,440,70,R?,1MR,,,2
3729,3730,S1751-46R,Test Point,80,90,TP?,S1751-46R,Harwin,S1751-46R,1
2451,2452,CMP-001-0001-4,0.6mm round,280,100,TP?,TPAD6R,,,1
4133,4134,1029c3af85768c4190bb7ad29bc67b5,100O ±1% 0.125W 0603 High Power Anti-Sulfur Thin Film Chip Resistor,440,110,R?,100R,,,2
3683,3684,CAP-NP-2,"Chip Capacitor, 100 nF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel",910,120,C?,100nF,,,2
1521,1522,S1751-46R,Test Point,80,130,TP?,S1751-46R,Harwin,S1751-46R,1
2432,2433,CMP-001-0001-4,0.6mm round,280,130,TP?,TPAD6R,,,1
732,733,CN-1P-M-R4,"Male Header, Pitch 2 mm, 1 x 4 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk",790,130,P?,B4B-PH-K-S(LF)(SN),,,4
2413,2414,CMP-001-0001-4,0.6mm round,280,160,TP?,TPAD6R,,,1
3492,3493,1029c3af85768c4190bb7ad29bc67b5,RES 10kO 5.00% 0.2W 0603,670,160,R?,10kR,,,2
3639,3640,CAP-NP-2,"Chip Capacitor, 100 nF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel",910,160,C?,100nF,,,2
1503,1504,S1751-46R,Test Point,80,170,TP?,S1751-46R,Harwin,S1751-46R,1
2394,2395,CMP-001-0001-4,0.6mm round,280,190,TP?,TPAD6R,,,1
4106,4107,PS1240P02BT,Loudspeaker or Buzzer,490,190,LS?,PS1240P02BT,TDK,PS1240P02BT,2
3576,3577,1029c3af85768c4190bb7ad29bc67b5,100O ±1% 0.125W 0603 High Power Anti-Sulfur Thin Film Chip Resistor,670,200,R?,100R,,,2
3979,3980,1029c3af85768c4190bb7ad29bc67b5,33O ±1% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant,1270,200,R?,33R,,,2
2375,2376,CMP-001-0001-4,0.6mm round,280,220,TP?,TPAD6R,,,1
